"ProductType","Product","AgeRange","IncomeRange","EmploymentStatus","ResidentialStatus","LikelihoodScore","total"
"Balance Transfer","Santander*","(30,40]","20k","Full time","Council Tenant",0.6,54
"Balance Transfer","MBNA Low Rate*","(50,60]","30k","Self Employed","Homeowner",0.1,664
"Balance Transfer","Santander*","(50,60]","30k","Self Employed","Homeowner",0.4,52
"Balance Transfer","MBNA Low Rate*","(30,40]","20k","Full time","Private Tenant",0.1,578
"Balance Transfer","Santander*","(50,60]","20k","Self Employed","Homeowner",0.8,40
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","20k","Full time","Council Tenant",0,315
"Balance Transfer","Halifax Low Rate*","(30,40]","20k","Full time","Council Tenant",0,318
"Balance Transfer","Santander*","(30,40]","20k","Full time","Council Tenant",0,158
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","30k","Full time","Council Tenant",0.6,99
"Balance Transfer","Halifax Low Rate*","(40,50]","30k","Full time","Council Tenant",0.6,101
"Balance Transfer","MBNA Low Rate*","(30,40]","50k","Full time","Private Tenant",0.1,390
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","50k","Full time","Private Tenant",0.2,352
"Balance Transfer","Halifax Low Rate*","(30,40]","50k","Full time","Private Tenant",0.2,358
"Balance Transfer","Post Office*","(30,40]","50k","Full time","Private Tenant",0,684
"Balance Transfer","Santander*","(30,40]","50k","Full time","Private Tenant",0.9,94
"Balance Transfer","Lloyds Platinum Low Rate*","(60,70]","20k","Part time","Homeowner",0.2,182
"Balance Transfer","Halifax Low Rate*","(60,70]","20k","Part time","Homeowner",0.2,189
"Balance Transfer","Post Office*","(60,70]","20k","Part time","Homeowner",0.4,128
"Balance Transfer","Santander*","(60,70]","20k","Part time","Homeowner",0.5,18
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","20k","Part time","Homeowner",0.2,566
"Balance Transfer","Halifax Low Rate*","(30,40]","20k","Part time","Homeowner",0.2,578
"Balance Transfer","Post Office*","(30,40]","20k","Part time","Homeowner",0.4,327
"Balance Transfer","Santander*","(30,40]","20k","Part time","Homeowner",0.4,54
"Balance Transfer","MBNA Low Rate*","(30,40]","30k","Homemaker","Private Tenant",0,128
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","30k","Homemaker","Private Tenant",0,67
"Balance Transfer","Halifax Low Rate*","(30,40]","30k","Homemaker","Private Tenant",0,67
"Balance Transfer","Post Office*","(30,40]","30k","Homemaker","Private Tenant",0,74
"Balance Transfer","Santander*","(30,40]","30k","Homemaker","Private Tenant",0,26
"Balance Transfer","Post Office*","(30,40]","30k","Full time","Homeowner",0.95,52
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","20k","Full time","Living with Parents",0.6,164
"Balance Transfer","Halifax Low Rate*","(30,40]","20k","Full time","Living with Parents",0.6,164
"Balance Transfer","Santander*","(30,40]","20k","Full time","Living with Parents",0.95,292
"Balance Transfer","MBNA Low Rate*","(70,80]","30k","Full time","Homeowner",0,28
"Balance Transfer","Santander*","(40,50]","30k","Part time","Homeowner",0.2,166
"Balance Transfer","Santander*","(40,50]","20k","Full time","Homeowner",0.8,196
"Balance Transfer","Lloyds Platinum Low Rate*","(50,60]","40k","Full time","Private Tenant",0.4,50
"Balance Transfer","Halifax Low Rate*","(50,60]","40k","Full time","Private Tenant",0.4,49
"Balance Transfer","Santander*","(50,60]","40k","Full time","Private Tenant",0.8,22
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","30k","Full time","Private Tenant",0.6,183
"Balance Transfer","Halifax Low Rate*","(40,50]","30k","Full time","Private Tenant",0.6,186
"Balance Transfer","Santander*","(40,50]","30k","Full time","Private Tenant",0.8,94
"Balance Transfer","Lloyds Platinum Low Rate*","(20,30]","30k","Full time","Private Tenant",0.6,500
"Balance Transfer","Halifax Low Rate*","(20,30]","30k","Full time","Private Tenant",0.6,506
"Balance Transfer","MBNA Low Rate*","(30,40]","10k","Part time","Homeowner",0,608
"Balance Transfer","Santander*","(30,40]","10k","Part time","Homeowner",0.95,126
"Balance Transfer","MBNA Low Rate*","(30,40]","90k","Full time","Homeowner",0,62
"Balance Transfer","Santander*","(30,40]","90k","Full time","Homeowner",0.95,14
"Balance Transfer","MBNA Low Rate*","(40,50]","20k","Retired","Homeowner",0.1,56
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","20k","Retired","Homeowner",0,42
"Balance Transfer","Halifax Low Rate*","(40,50]","20k","Retired","Homeowner",0,42
"Balance Transfer","Post Office*","(40,50]","20k","Retired","Homeowner",0.4,28
"Balance Transfer","Santander*","(40,50]","20k","Retired","Homeowner",0.4,22
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","30k","Full time","Living with Parents",0.5,203
"Balance Transfer","Halifax Low Rate*","(30,40]","30k","Full time","Living with Parents",0.5,209
"Balance Transfer","Santander*","(30,40]","30k","Full time","Living with Parents",0.9,132
"Balance Transfer","Post Office*","(30,40]","40k","Full time","Homeowner",0.8,168
"Balance Transfer","MBNA Low Rate*","(20,30]","40k","Self Employed","Private Tenant",0,56
"Balance Transfer","Lloyds Platinum Low Rate*","(20,30]","40k","Self Employed","Private Tenant",0.5,12
"Balance Transfer","Halifax Low Rate*","(20,30]","40k","Self Employed","Private Tenant",0.5,12
"Balance Transfer","Post Office*","(20,30]","40k","Self Employed","Private Tenant",0,37
"Balance Transfer","Santander*","(20,30]","40k","Self Employed","Private Tenant",0.95,20
"Balance Transfer","MBNA Low Rate*","(60,70]","30k","Full time","Homeowner",0.8,44
"Balance Transfer","Lloyds Platinum Low Rate*","(60,70]","30k","Full time","Homeowner",0.4,21
"Balance Transfer","Halifax Low Rate*","(60,70]","30k","Full time","Homeowner",0.4,21
"Balance Transfer","Post Office*","(60,70]","30k","Full time","Homeowner",0.5,18
"Balance Transfer","Santander*","(60,70]","30k","Full time","Homeowner",0.6,44
"Balance Transfer","MBNA Low Rate*","(30,40]","40k","Full time","Council Tenant",0,412
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","40k","Full time","Council Tenant",0.9,39
"Balance Transfer","Halifax Low Rate*","(30,40]","40k","Full time","Council Tenant",0.9,39
"Balance Transfer","Post Office*","(30,40]","40k","Full time","Council Tenant",0,236
"Balance Transfer","Santander*","(30,40]","40k","Full time","Council Tenant",0,78
"Balance Transfer","Santander*","(30,40]","40k","Full time","Private Tenant",0.6,150
"Balance Transfer","Santander*","(50,60]","30k","Part time","Homeowner",0.2,98
"Balance Transfer","Halifax Low Rate*","(30,40]","20k","Full time","Private Tenant",0.5,379
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","20k","Full time","Private Tenant",0.5,375
"Balance Transfer","MBNA Low Rate*","(30,40]","110k","Full time","Homeowner",0.1,64
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","110k","Full time","Homeowner",0.2,34
"Balance Transfer","Halifax Low Rate*","(30,40]","110k","Full time","Homeowner",0.2,33
"Balance Transfer","MBNA Low Rate*","(50,60]","100k","Full time","Homeowner",0.1,98
"Balance Transfer","Lloyds Platinum Low Rate*","(50,60]","100k","Full time","Homeowner",0.2,61
"Balance Transfer","Halifax Low Rate*","(50,60]","100k","Full time","Homeowner",0.2,62
"Balance Transfer","Post Office*","(50,60]","100k","Full time","Homeowner",0.4,40
"Balance Transfer","Santander*","(50,60]","100k","Full time","Homeowner",0.2,28
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","20k","Full time","Council Tenant",0.7,87
"Balance Transfer","Halifax Low Rate*","(30,40]","20k","Full time","Council Tenant",0.7,87
"Balance Transfer","Santander*","(30,40]","20k","Full time","Council Tenant",0.95,196
"Balance Transfer","MBNA Low Rate*","(50,60]","90k","Full time","Homeowner",0.1,122
"Balance Transfer","Lloyds Platinum Low Rate*","(50,60]","90k","Full time","Homeowner",0.2,81
"Balance Transfer","Halifax Low Rate*","(50,60]","90k","Full time","Homeowner",0.2,83
"Balance Transfer","Post Office*","(50,60]","90k","Full time","Homeowner",0.4,53
"Balance Transfer","Santander*","(50,60]","90k","Full time","Homeowner",0.2,32
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","40k","Full time","Private Tenant",0,570
"Balance Transfer","Halifax Low Rate*","(30,40]","40k","Full time","Private Tenant",0,573
"Balance Transfer","Santander*","(30,40]","40k","Full time","Homeowner",0.7,130
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","30k","Full time","Living with Parents",0,493
"Balance Transfer","Halifax Low Rate*","(30,40]","30k","Full time","Living with Parents",0,496
"Balance Transfer","Santander*","(30,40]","30k","Full time","Living with Parents",0.95,374
"Balance Transfer","Santander*","(50,60]","20k","Full time","Private Tenant",0,94
"Balance Transfer","Santander*","(40,50]","60k","Full time","Homeowner",0.9,104
"Balance Transfer","MBNA Low Rate*","(70,80]","20k","Retired","Homeowner",0,284
"Balance Transfer","Lloyds Platinum Low Rate*","(70,80]","20k","Retired","Homeowner",0.5,44
"Balance Transfer","Halifax Low Rate*","(70,80]","20k","Retired","Homeowner",0.5,44
"Balance Transfer","Post Office*","(70,80]","20k","Retired","Homeowner",0.7,20
"Balance Transfer","Post Office*","(40,50]","40k","Part time","Homeowner",0.4,100
"Balance Transfer","Santander*","(40,50]","40k","Part time","Homeowner",0.2,60
"Balance Transfer","Santander*","(40,50]","20k","Self Employed","Homeowner",0.2,72
"Balance Transfer","MBNA Low Rate*","(30,40]","40k","Full time","Living with Parents",0.1,236
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","40k","Full time","Living with Parents",0.7,30
"Balance Transfer","Halifax Low Rate*","(30,40]","40k","Full time","Living with Parents",0.7,33
"Balance Transfer","Post Office*","(30,40]","40k","Full time","Living with Parents",0,363
"Balance Transfer","Santander*","(30,40]","40k","Full time","Living with Parents",0.95,146
"Balance Transfer","MBNA Low Rate*","(70,80]","20k","Retired","Council Tenant",0,90
"Balance Transfer","Lloyds Platinum Low Rate*","(70,80]","20k","Retired","Council Tenant",0.95,18
"Balance Transfer","Halifax Low Rate*","(70,80]","20k","Retired","Council Tenant",0.95,18
"Balance Transfer","Post Office*","(70,80]","20k","Retired","Council Tenant",0,92
"Balance Transfer","Santander*","(70,80]","20k","Retired","Council Tenant",0.95,22
"Balance Transfer","Lloyds Platinum Low Rate*","(60,70]","20k","Retired","Homeowner",0.2,761
"Balance Transfer","Halifax Low Rate*","(60,70]","20k","Retired","Homeowner",0.2,766
"Balance Transfer","Post Office*","(60,70]","20k","Retired","Homeowner",0.4,465
"Balance Transfer","Santander*","(60,70]","20k","Retired","Homeowner",0.2,194
"Balance Transfer","MBNA Low Rate*","(30,40]","10k","Self Employed","Homeowner",0,120
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","10k","Self Employed","Homeowner",0.2,82
"Balance Transfer","Halifax Low Rate*","(30,40]","10k","Self Employed","Homeowner",0.2,84
"Balance Transfer","Santander*","(30,40]","10k","Self Employed","Homeowner",0,24
"Balance Transfer","Lloyds Platinum Low Rate*","(20,30]","10k","Part time","Homeowner",0.2,60
"Balance Transfer","Halifax Low Rate*","(20,30]","10k","Part time","Homeowner",0.2,66
"Balance Transfer","Post Office*","(20,30]","10k","Part time","Homeowner",0.4,36
"Balance Transfer","Santander*","(20,30]","10k","Part time","Homeowner",0.3,16
"Balance Transfer","Santander*","(50,60]","40k","Full time","Homeowner",0.2,418
"Balance Transfer","Lloyds Platinum Low Rate*","(20,30]","20k","Part time","Private Tenant",0.6,42
"Balance Transfer","Halifax Low Rate*","(20,30]","20k","Part time","Private Tenant",0.6,42
"Balance Transfer","Santander*","(20,30]","20k","Part time","Private Tenant",0.95,138
"Balance Transfer","Santander*","(20,30]","40k","Full time","Private Tenant",0.8,50
"Balance Transfer","Lloyds Platinum Low Rate*","(50,60]","40k","Full time","Homeowner",0.95,120
"Balance Transfer","Halifax Low Rate*","(50,60]","40k","Full time","Homeowner",0.95,120
"Balance Transfer","MBNA Low Rate*","(50,60]","30k","Full time","Council Tenant",0,564
"Balance Transfer","Lloyds Platinum Low Rate*","(50,60]","30k","Full time","Council Tenant",0.2,140
"Balance Transfer","Halifax Low Rate*","(50,60]","30k","Full time","Council Tenant",0.2,144
"Balance Transfer","Post Office*","(50,60]","30k","Full time","Council Tenant",0,398
"Balance Transfer","Santander*","(50,60]","30k","Full time","Council Tenant",0.6,42
"Balance Transfer","MBNA Low Rate*","(20,30]","20k","Part time","Private Tenant",0.1,148
"Balance Transfer","Lloyds Platinum Low Rate*","(20,30]","20k","Part time","Private Tenant",0.2,110
"Balance Transfer","Halifax Low Rate*","(20,30]","20k","Part time","Private Tenant",0.2,110
"Balance Transfer","Santander*","(20,30]","20k","Part time","Private Tenant",0.8,34
"Balance Transfer","MBNA Low Rate*","(30,40]","20k","Full time","Private Tenant",0.8,80
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","20k","Full time","Private Tenant",0.2,502
"Balance Transfer","Halifax Low Rate*","(30,40]","20k","Full time","Private Tenant",0.2,512
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","30k","Full time","Homeowner",0.9,147
"Balance Transfer","Halifax Low Rate*","(40,50]","30k","Full time","Homeowner",0.9,149
"Balance Transfer","MBNA Low Rate*","(60,70]","30k","Full time","Homeowner",0,378
"Balance Transfer","Santander*","(60,70]","30k","Full time","Homeowner",0.5,34
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","30k","Full time","Private Tenant",0.9,87
"Balance Transfer","Halifax Low Rate*","(40,50]","30k","Full time","Private Tenant",0.9,88
"Balance Transfer","Santander*","(40,50]","30k","Full time","Private Tenant",0.95,606
"Balance Transfer","Lloyds Platinum Low Rate*","(50,60]","40k","Full time","Private Tenant",0,61
"Balance Transfer","Halifax Low Rate*","(50,60]","40k","Full time","Private Tenant",0,61
"Balance Transfer","Santander*","(60,70]","20k","Retired","Homeowner",0.8,86
"Balance Transfer","Lloyds Platinum Low Rate*","(50,60]","20k","Part time","Homeowner",0.2,525
"Balance Transfer","Halifax Low Rate*","(50,60]","20k","Part time","Homeowner",0.2,537
"Balance Transfer","Post Office*","(50,60]","20k","Part time","Homeowner",0.4,337
"Balance Transfer","Santander*","(50,60]","20k","Part time","Homeowner",0.3,98
"Balance Transfer","MBNA Low Rate*","(20,30]","30k","Full time","Private Tenant",0.8,244
"Balance Transfer","MBNA Low Rate*","(20,30]","40k","Full time","Living with Parents",0,662
"Balance Transfer","Lloyds Platinum Low Rate*","(20,30]","40k","Full time","Living with Parents",0,156
"Balance Transfer","Halifax Low Rate*","(20,30]","40k","Full time","Living with Parents",0,159
"Balance Transfer","Post Office*","(20,30]","40k","Full time","Living with Parents",0,530
"Balance Transfer","Santander*","(20,30]","40k","Full time","Living with Parents",0.95,276
"Balance Transfer","Lloyds Platinum Low Rate*","(50,60]","30k","Full time","Council Tenant",0.6,39
"Balance Transfer","Halifax Low Rate*","(50,60]","30k","Full time","Council Tenant",0.6,40
"Balance Transfer","Santander*","(50,60]","30k","Full time","Council Tenant",0.9,44
"Balance Transfer","Santander*","(30,40]","50k","Full time","Private Tenant",0.3,44
"Balance Transfer","Lloyds Platinum Low Rate*","(20,30]","20k","Full time","Living with Parents",0.3,197
"Balance Transfer","Halifax Low Rate*","(20,30]","20k","Full time","Living with Parents",0.3,201
"Balance Transfer","MBNA Low Rate*","(30,40]","40k","Self Employed","Homeowner",0.1,218
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","40k","Self Employed","Homeowner",0.2,137
"Balance Transfer","Halifax Low Rate*","(30,40]","40k","Self Employed","Homeowner",0.2,144
"Balance Transfer","Post Office*","(30,40]","40k","Self Employed","Homeowner",0,72
"Balance Transfer","Santander*","(30,40]","40k","Self Employed","Homeowner",0.4,30
"Balance Transfer","Santander*","(40,50]","50k","Full time","Homeowner",0.2,468
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","20k","Full time","Living with Parents",0.3,42
"Balance Transfer","Halifax Low Rate*","(30,40]","20k","Full time","Living with Parents",0.3,44
"Balance Transfer","Santander*","(30,40]","20k","Full time","Living with Parents",0.9,132
"Balance Transfer","MBNA Low Rate*","(20,30]","40k","Self Employed","Living with Parents",0,62
"Balance Transfer","Post Office*","(20,30]","40k","Self Employed","Living with Parents",0,39
"Balance Transfer","Santander*","(20,30]","40k","Self Employed","Living with Parents",0.95,30
"Balance Transfer","Santander*","(50,60]","40k","Full time","Homeowner",0.4,206
"Balance Transfer","MBNA Low Rate*","(40,50]","100k","Full time","Homeowner",0,58
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","100k","Full time","Homeowner",0.6,12
"Balance Transfer","Halifax Low Rate*","(40,50]","100k","Full time","Homeowner",0.6,12
"Balance Transfer","Post Office*","(40,50]","100k","Full time","Homeowner",0,28
"Balance Transfer","Santander*","(40,50]","100k","Full time","Homeowner",0,26
"Balance Transfer","Santander*","(60,70]","20k","Retired","Homeowner",0.6,46
"Balance Transfer","MBNA Low Rate*","(50,60]","60k","Full time","Private Tenant",0.1,36
"Balance Transfer","Lloyds Platinum Low Rate*","(50,60]","60k","Full time","Private Tenant",0.2,42
"Balance Transfer","Halifax Low Rate*","(50,60]","60k","Full time","Private Tenant",0.2,45
"Balance Transfer","Post Office*","(50,60]","60k","Full time","Private Tenant",0,60
"Balance Transfer","Santander*","(40,50]","10k","Homemaker","Homeowner",0.6,22
"Balance Transfer","MBNA Low Rate*","(40,50]","10k","Homemaker","Homeowner",0,112
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","10k","Homemaker","Homeowner",0,74
"Balance Transfer","Halifax Low Rate*","(40,50]","10k","Homemaker","Homeowner",0,75
"Balance Transfer","Post Office*","(40,50]","10k","Homemaker","Homeowner",0,62
"Balance Transfer","Santander*","(40,50]","60k","Full time","Homeowner",0.95,138
"Balance Transfer","MBNA Low Rate*","(60,70]","50k","Full time","Homeowner",0.1,254
"Balance Transfer","Post Office*","(60,70]","50k","Full time","Homeowner",0,72
"Balance Transfer","Santander*","(60,70]","50k","Full time","Homeowner",0.8,14
"Balance Transfer","Lloyds Platinum Low Rate*","(20,30]","10k","Full time","Living with Parents",0.6,25
"Balance Transfer","Halifax Low Rate*","(20,30]","10k","Full time","Living with Parents",0.6,26
"Balance Transfer","MBNA Low Rate*","(60,70]","60k","Self Employed","Homeowner",0,32
"Balance Transfer","Lloyds Platinum Low Rate*","(60,70]","60k","Self Employed","Homeowner",0.2,36
"Balance Transfer","Halifax Low Rate*","(60,70]","60k","Self Employed","Homeowner",0.2,40
"Balance Transfer","Post Office*","(60,70]","60k","Self Employed","Homeowner",0,12
"Balance Transfer","MBNA Low Rate*","(20,30]","60k","Full time","Private Tenant",0,80
"Balance Transfer","Lloyds Platinum Low Rate*","(20,30]","60k","Full time","Private Tenant",0.7,42
"Balance Transfer","Halifax Low Rate*","(20,30]","60k","Full time","Private Tenant",0.7,43
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","50k","Full time","Homeowner",0.95,195
"Balance Transfer","Halifax Low Rate*","(40,50]","50k","Full time","Homeowner",0.95,197
"Balance Transfer","Santander*","(40,50]","30k","Full time","Homeowner",0.6,334
"Balance Transfer","Santander*","(30,40]","60k","Full time","Homeowner",0.2,108
"Balance Transfer","MBNA Low Rate*","(60,70]","50k","Self Employed","Homeowner",0.1,54
"Balance Transfer","Lloyds Platinum Low Rate*","(60,70]","50k","Self Employed","Homeowner",0.2,18
"Balance Transfer","Halifax Low Rate*","(60,70]","50k","Self Employed","Homeowner",0.2,18
"Balance Transfer","Post Office*","(60,70]","50k","Self Employed","Homeowner",0.4,22
"Balance Transfer","Lloyds Platinum Low Rate*","(50,60]","60k","Full time","Homeowner",0.95,42
"Balance Transfer","Halifax Low Rate*","(50,60]","60k","Full time","Homeowner",0.95,42
"Balance Transfer","Santander*","(50,60]","60k","Full time","Homeowner",0.8,28
"Balance Transfer","MBNA Low Rate*","(30,40]","20k","Part time","Private Tenant",0.1,118
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","20k","Part time","Private Tenant",0.2,121
"Balance Transfer","Halifax Low Rate*","(30,40]","20k","Part time","Private Tenant",0.2,128
"Balance Transfer","Santander*","(30,40]","20k","Part time","Private Tenant",0.8,42
"Balance Transfer","MBNA Low Rate*","(70,80]","20k","Part time","Homeowner",0.1,20
"Balance Transfer","Lloyds Platinum Low Rate*","(70,80]","20k","Part time","Homeowner",0.2,18
"Balance Transfer","Halifax Low Rate*","(70,80]","20k","Part time","Homeowner",0.2,19
"Balance Transfer","Post Office*","(70,80]","20k","Part time","Homeowner",0.4,12
"Balance Transfer","Lloyds Platinum Low Rate*","(20,30]","20k","Full time","Private Tenant",0.9,324
"Balance Transfer","Halifax Low Rate*","(20,30]","20k","Full time","Private Tenant",0.9,331
"Balance Transfer","MBNA Low Rate*","(50,60]","30k","Full time","Private Tenant",0,840
"Balance Transfer","Lloyds Platinum Low Rate*","(50,60]","30k","Full time","Private Tenant",0,247
"Balance Transfer","Halifax Low Rate*","(50,60]","30k","Full time","Private Tenant",0,254
"Balance Transfer","Post Office*","(50,60]","30k","Full time","Private Tenant",0,526
"Balance Transfer","Santander*","(50,60]","30k","Full time","Private Tenant",0.8,50
"Balance Transfer","MBNA Low Rate*","(40,50]","30k","Homemaker","Homeowner",0,68
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","30k","Homemaker","Homeowner",0,24
"Balance Transfer","Halifax Low Rate*","(40,50]","30k","Homemaker","Homeowner",0,26
"Balance Transfer","Post Office*","(40,50]","30k","Homemaker","Homeowner",0,28
"Balance Transfer","Santander*","(50,60]","30k","Retired","Homeowner",0.95,18
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","50k","Part time","Homeowner",0.2,46
"Balance Transfer","Halifax Low Rate*","(40,50]","50k","Part time","Homeowner",0.2,44
"Balance Transfer","Lloyds Platinum Low Rate*","(60,70]","30k","Self Employed","Homeowner",0.6,12
"Balance Transfer","Halifax Low Rate*","(60,70]","30k","Self Employed","Homeowner",0.6,12
"Balance Transfer","Santander*","(60,70]","30k","Self Employed","Homeowner",0.95,46
"Balance Transfer","MBNA Low Rate*","(70,80]","40k","Retired","Homeowner",0.1,68
"Balance Transfer","Lloyds Platinum Low Rate*","(70,80]","40k","Retired","Homeowner",0.2,40
"Balance Transfer","Halifax Low Rate*","(70,80]","40k","Retired","Homeowner",0.2,40
"Balance Transfer","Post Office*","(70,80]","40k","Retired","Homeowner",0.4,27
"Balance Transfer","Santander*","(70,80]","40k","Retired","Homeowner",0.2,18
"Balance Transfer","Lloyds Platinum Low Rate*","(50,60]","30k","Full time","Homeowner",0.5,303
"Balance Transfer","Halifax Low Rate*","(50,60]","30k","Full time","Homeowner",0.5,309
"Balance Transfer","Lloyds Platinum Low Rate*","(50,60]","20k","Retired","Homeowner",0,110
"Balance Transfer","Halifax Low Rate*","(50,60]","20k","Retired","Homeowner",0,113
"Balance Transfer","Post Office*","(50,60]","20k","Retired","Homeowner",0,82
"Balance Transfer","MBNA Low Rate*","(30,40]","20k","Student","Living with Parents",0,20
"Balance Transfer","Santander*","(60,70]","20k","Retired","Homeowner",0.4,120
"Balance Transfer","MBNA Low Rate*","(30,40]","20k","Unemployed","Private Tenant",0,40
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","20k","Unemployed","Private Tenant",0,30
"Balance Transfer","Halifax Low Rate*","(30,40]","20k","Unemployed","Private Tenant",0,30
"Balance Transfer","Post Office*","(30,40]","20k","Unemployed","Private Tenant",0,20
"Balance Transfer","Santander*","(30,40]","20k","Unemployed","Private Tenant",0,20
"Balance Transfer","MBNA Low Rate*","(40,50]","80k","Self Employed","Homeowner",0.1,52
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","80k","Self Employed","Homeowner",0.2,37
"Balance Transfer","Halifax Low Rate*","(40,50]","80k","Self Employed","Homeowner",0.2,39
"Balance Transfer","MBNA Low Rate*","(40,50]","10k","Self Employed","Homeowner",0.1,112
"Balance Transfer","Post Office*","(60,70]","30k","Full time","Homeowner",0.6,28
"Balance Transfer","Santander*","(20,30]","30k","Full time","Private Tenant",0.5,80
"Balance Transfer","MBNA Low Rate*","(40,50]","10k","Homemaker","Private Tenant",0,78
"Balance Transfer","Post Office*","(40,50]","10k","Homemaker","Private Tenant",0,38
"Balance Transfer","Santander*","(20,30]","30k","Full time","Homeowner",0.3,98
"Balance Transfer","Santander*","(30,40]","40k","Full time","Homeowner",0.6,400
"Balance Transfer","MBNA Low Rate*","(30,40]","60k","Full time","Homeowner",0.3,54
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","60k","Full time","Homeowner",0.4,94
"Balance Transfer","Halifax Low Rate*","(30,40]","60k","Full time","Homeowner",0.4,95
"Balance Transfer","Post Office*","(30,40]","60k","Full time","Homeowner",0.7,81
"Balance Transfer","Santander*","(30,40]","60k","Full time","Homeowner",0.6,106
"Balance Transfer","Lloyds Platinum Low Rate*","(20,30]","20k","Full time","Living with Parents",0.7,384
"Balance Transfer","Halifax Low Rate*","(20,30]","20k","Full time","Living with Parents",0.7,392
"Balance Transfer","Santander*","(30,40]","20k","Full time","Homeowner",0.9,208
"Balance Transfer","MBNA Low Rate*","(30,40]","30k","Full time","Council Tenant",0,1312
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","30k","Full time","Council Tenant",0.95,172
"Balance Transfer","Halifax Low Rate*","(30,40]","30k","Full time","Council Tenant",0.95,174
"Balance Transfer","Post Office*","(30,40]","30k","Full time","Council Tenant",0,708
"Balance Transfer","Santander*","(30,40]","30k","Full time","Council Tenant",0,148
"Balance Transfer","MBNA Low Rate*","(30,40]","20k","Self Employed","Council Tenant",0,198
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","20k","Self Employed","Council Tenant",0,81
"Balance Transfer","Halifax Low Rate*","(30,40]","20k","Self Employed","Council Tenant",0,81
"Balance Transfer","Post Office*","(30,40]","20k","Self Employed","Council Tenant",0,106
"Balance Transfer","Santander*","(30,40]","20k","Self Employed","Council Tenant",0,44
"Balance Transfer","Santander*","(40,50]","20k","Full time","Homeowner",0.95,388
"Balance Transfer","MBNA Low Rate*","(50,60]","30k","Homemaker","Homeowner",0,48
"Balance Transfer","Lloyds Platinum Low Rate*","(20,30]","30k","Full time","Living with Parents",0.5,511
"Balance Transfer","Halifax Low Rate*","(20,30]","30k","Full time","Living with Parents",0.5,512
"Balance Transfer","Santander*","(20,30]","30k","Full time","Living with Parents",0.9,312
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","30k","Part time","Homeowner",0,102
"Balance Transfer","Halifax Low Rate*","(40,50]","30k","Part time","Homeowner",0,105
"Balance Transfer","Post Office*","(40,50]","30k","Part time","Homeowner",0,121
"Balance Transfer","Santander*","(40,50]","30k","Part time","Homeowner",0.95,44
"Balance Transfer","Santander*","(40,50]","10k","Part time","Homeowner",0.3,88
"Balance Transfer","MBNA Low Rate*","(20,30]","50k","Full time","Private Tenant",0.1,184
"Balance Transfer","Lloyds Platinum Low Rate*","(20,30]","50k","Full time","Private Tenant",0.2,115
"Balance Transfer","Halifax Low Rate*","(20,30]","50k","Full time","Private Tenant",0.2,119
"Balance Transfer","Post Office*","(20,30]","50k","Full time","Private Tenant",0,241
"Balance Transfer","Santander*","(20,30]","50k","Full time","Private Tenant",0.5,20
"Balance Transfer","Santander*","(40,50]","60k","Full time","Homeowner",0.2,232
"Balance Transfer","Santander*","(20,30]","20k","Full time","Living with Parents",0.8,180
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","40k","Full time","Private Tenant",0.3,124
"Balance Transfer","Halifax Low Rate*","(30,40]","40k","Full time","Private Tenant",0.3,131
"Balance Transfer","MBNA Low Rate*","(40,50]","40k","Full time","Private Tenant",0.1,436
