"Credit Card Type","Credit Card","Employment Status","Residential Status","Age Range","Income Range (k)","Volume","Likelihood Score"
"Balance Transfer","Santander*","Full time","Homeowner",40,60,108,0.2
"Balance Transfer","MBNA Low Rate*","Self Employed","Homeowner",70,50,54,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Self Employed","Homeowner",70,50,18,0.2
"Balance Transfer","Halifax Low Rate*","Self Employed","Homeowner",70,50,18,0.2
"Balance Transfer","Post Office*","Self Employed","Homeowner",70,50,22,0.4
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",60,60,42,0.95
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",60,60,42,0.95
"Balance Transfer","Santander*","Full time","Homeowner",60,60,28,0.8
"Balance Transfer","MBNA Low Rate*","Part time","Private Tenant",40,20,118,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Part time","Private Tenant",40,20,121,0.2
"Balance Transfer","Halifax Low Rate*","Part time","Private Tenant",40,20,128,0.2
"Balance Transfer","Santander*","Part time","Private Tenant",40,20,42,0.8
"Balance Transfer","MBNA Low Rate*","Part time","Homeowner",80,20,20,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Part time","Homeowner",80,20,18,0.2
"Balance Transfer","Halifax Low Rate*","Part time","Homeowner",80,20,19,0.2
"Balance Transfer","Post Office*","Part time","Homeowner",80,20,12,0.4
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",30,20,324,0.9
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",30,20,331,0.9
"Balance Transfer","MBNA Low Rate*","Full time","Private Tenant",60,30,840,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",60,30,247,0
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",60,30,254,0
"Balance Transfer","Post Office*","Full time","Private Tenant",60,30,526,0
"Balance Transfer","Santander*","Full time","Private Tenant",60,30,50,0.8
"Balance Transfer","MBNA Low Rate*","Homemaker","Homeowner",50,30,68,0
"Balance Transfer","Lloyds Platinum Low Rate*","Homemaker","Homeowner",50,30,24,0
"Balance Transfer","Halifax Low Rate*","Homemaker","Homeowner",50,30,26,0
"Balance Transfer","Post Office*","Homemaker","Homeowner",50,30,28,0
"Balance Transfer","Santander*","Retired","Homeowner",60,30,18,0.95
"Balance Transfer","Lloyds Platinum Low Rate*","Part time","Homeowner",50,50,46,0.2
"Balance Transfer","Halifax Low Rate*","Part time","Homeowner",50,50,44,0.2
"Balance Transfer","Lloyds Platinum Low Rate*","Self Employed","Homeowner",70,30,12,0.6
"Balance Transfer","Halifax Low Rate*","Self Employed","Homeowner",70,30,12,0.6
"Balance Transfer","Santander*","Self Employed","Homeowner",70,30,46,0.95
"Balance Transfer","MBNA Low Rate*","Retired","Homeowner",80,40,68,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Retired","Homeowner",80,40,40,0.2
"Balance Transfer","Halifax Low Rate*","Retired","Homeowner",80,40,40,0.2
"Balance Transfer","Post Office*","Retired","Homeowner",80,40,27,0.4
"Balance Transfer","Santander*","Retired","Homeowner",80,40,18,0.2
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",60,30,303,0.5
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",60,30,309,0.5
"Balance Transfer","Lloyds Platinum Low Rate*","Retired","Homeowner",60,20,110,0
"Balance Transfer","Halifax Low Rate*","Retired","Homeowner",60,20,113,0
"Balance Transfer","Post Office*","Retired","Homeowner",60,20,82,0
"Balance Transfer","MBNA Low Rate*","Student","Living with Parents",40,20,20,0
"Balance Transfer","Santander*","Retired","Homeowner",70,20,120,0.4
"Balance Transfer","MBNA Low Rate*","Unemployed","Private Tenant",40,20,40,0
"Balance Transfer","Lloyds Platinum Low Rate*","Unemployed","Private Tenant",40,20,30,0
"Balance Transfer","Halifax Low Rate*","Unemployed","Private Tenant",40,20,30,0
"Balance Transfer","Post Office*","Unemployed","Private Tenant",40,20,20,0
"Balance Transfer","Santander*","Unemployed","Private Tenant",40,20,20,0
"Balance Transfer","MBNA Low Rate*","Self Employed","Homeowner",50,80,52,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Self Employed","Homeowner",50,80,37,0.2
"Balance Transfer","Halifax Low Rate*","Self Employed","Homeowner",50,80,39,0.2
"Balance Transfer","MBNA Low Rate*","Self Employed","Homeowner",50,10,112,0.1
"Balance Transfer","Post Office*","Full time","Homeowner",70,30,28,0.6
"Balance Transfer","Santander*","Full time","Private Tenant",30,30,80,0.5
"Balance Transfer","MBNA Low Rate*","Homemaker","Private Tenant",50,10,78,0
"Balance Transfer","Post Office*","Homemaker","Private Tenant",50,10,38,0
"Balance Transfer","Santander*","Full time","Homeowner",30,30,98,0.3
"Balance Transfer","Santander*","Full time","Homeowner",40,40,400,0.6
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",40,60,54,0.3
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",40,60,94,0.4
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",40,60,95,0.4
"Balance Transfer","Post Office*","Full time","Homeowner",40,60,81,0.7
"Balance Transfer","Santander*","Full time","Homeowner",40,60,106,0.6
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Living with Parents",30,20,384,0.7
"Balance Transfer","Halifax Low Rate*","Full time","Living with Parents",30,20,392,0.7
"Balance Transfer","Santander*","Full time","Homeowner",40,20,208,0.9
"Balance Transfer","MBNA Low Rate*","Full time","Council Tenant",40,30,1312,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Council Tenant",40,30,172,0.95
"Balance Transfer","Halifax Low Rate*","Full time","Council Tenant",40,30,174,0.95
"Balance Transfer","Post Office*","Full time","Council Tenant",40,30,708,0
"Balance Transfer","Santander*","Full time","Council Tenant",40,30,148,0
"Balance Transfer","MBNA Low Rate*","Self Employed","Council Tenant",40,20,198,0
"Balance Transfer","Lloyds Platinum Low Rate*","Self Employed","Council Tenant",40,20,81,0
"Balance Transfer","Halifax Low Rate*","Self Employed","Council Tenant",40,20,81,0
"Balance Transfer","Post Office*","Self Employed","Council Tenant",40,20,106,0
"Balance Transfer","Santander*","Self Employed","Council Tenant",40,20,44,0
"Balance Transfer","Santander*","Full time","Homeowner",50,20,388,0.95
"Balance Transfer","MBNA Low Rate*","Homemaker","Homeowner",60,30,48,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Living with Parents",30,30,511,0.5
"Balance Transfer","Halifax Low Rate*","Full time","Living with Parents",30,30,512,0.5
"Balance Transfer","Santander*","Full time","Living with Parents",30,30,312,0.9
"Balance Transfer","Lloyds Platinum Low Rate*","Part time","Homeowner",50,30,102,0
"Balance Transfer","Halifax Low Rate*","Part time","Homeowner",50,30,105,0
"Balance Transfer","Post Office*","Part time","Homeowner",50,30,121,0
"Balance Transfer","Santander*","Part time","Homeowner",50,30,44,0.95
"Balance Transfer","Santander*","Part time","Homeowner",50,10,88,0.3
"Balance Transfer","MBNA Low Rate*","Full time","Private Tenant",30,50,184,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",30,50,115,0.2
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",30,50,119,0.2
"Balance Transfer","Post Office*","Full time","Private Tenant",30,50,241,0
"Balance Transfer","Santander*","Full time","Private Tenant",30,50,20,0.5
"Balance Transfer","Santander*","Full time","Homeowner",50,60,232,0.2
"Balance Transfer","Santander*","Full time","Living with Parents",30,20,180,0.8
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",40,40,124,0.3
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",40,40,131,0.3
"Balance Transfer","MBNA Low Rate*","Full time","Private Tenant",50,40,436,0.1
"Balance Transfer","Santander*","Full time","Private Tenant",50,40,86,0.8
"Balance Transfer","Santander*","Full time","Homeowner",60,40,202,0.6
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",40,60,121,0.5
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",40,60,122,0.5
"Balance Transfer","Santander*","Full time","Homeowner",40,60,144,0.95
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",60,40,127,0.3
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",60,40,130,0.3
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",60,20,53,0.9
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",60,20,52,0.9
"Balance Transfer","Post Office*","Full time","Homeowner",60,20,40,0.8
"Balance Transfer","Santander*","Full time","Homeowner",60,20,348,0.95
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",30,20,1086,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",30,20,527,0.2
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",30,20,532,0.2
"Balance Transfer","Post Office*","Full time","Homeowner",30,20,541,0
"Balance Transfer","Santander*","Full time","Homeowner",30,20,122,0.8
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",50,10,172,0
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",50,10,174,0
"Balance Transfer","Post Office*","Full time","Homeowner",50,10,124,0
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",50,70,718,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",50,70,507,0.2
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",50,70,522,0.2
"Balance Transfer","Santander*","Full time","Homeowner",50,70,30,0.8
"Balance Transfer","MBNA Low Rate*","Full time","Living with Parents",40,70,24,0.1
"Balance Transfer","Post Office*","Full time","Living with Parents",40,70,20,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",60,30,63,0.95
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",60,30,64,0.95
"Balance Transfer","Santander*","Full time","Private Tenant",60,30,116,0
"Balance Transfer","MBNA Low Rate*","Full time","Living with Parents",60,30,80,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Living with Parents",60,30,30,0
"Balance Transfer","Halifax Low Rate*","Full time","Living with Parents",60,30,30,0
"Balance Transfer","Santander*","Full time","Living with Parents",30,20,176,0.5
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Council Tenant",50,20,310,0
"Balance Transfer","Halifax Low Rate*","Full time","Council Tenant",50,20,317,0
"Balance Transfer","Santander*","Full time","Council Tenant",50,20,156,0
"Balance Transfer","MBNA Low Rate*","Full time","Living with Parents",30,40,20,0.8
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Living with Parents",30,40,258,0.2
"Balance Transfer","Halifax Low Rate*","Full time","Living with Parents",30,40,264,0.2
"Balance Transfer","Santander*","Full time","Homeowner",60,50,58,0.5
"Balance Transfer","MBNA Low Rate*","Full time","Living with Parents",50,70,16,0
"Balance Transfer","MBNA Low Rate*","Full time","Private Tenant",30,20,100,0.8
"Balance Transfer","MBNA Low Rate*","Self Employed","Homeowner",50,40,380,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Self Employed","Homeowner",50,40,30,0.4
"Balance Transfer","Halifax Low Rate*","Self Employed","Homeowner",50,40,30,0.4
"Balance Transfer","Post Office*","Self Employed","Homeowner",50,40,22,0.7
"Balance Transfer","Santander*","Self Employed","Homeowner",50,40,36,0.6
"Balance Transfer","MBNA Low Rate*","Part time","Council Tenant",50,10,244,0
"Balance Transfer","Lloyds Platinum Low Rate*","Part time","Council Tenant",50,10,114,0
"Balance Transfer","Halifax Low Rate*","Part time","Council Tenant",50,10,115,0
"Balance Transfer","Post Office*","Part time","Council Tenant",50,10,152,0
"Balance Transfer","Santander*","Part time","Council Tenant",50,10,46,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",60,50,84,0.3
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",60,50,88,0.3
"Balance Transfer","MBNA Low Rate*","Part time","Council Tenant",50,30,68,0
"Balance Transfer","Post Office*","Part time","Council Tenant",50,30,40,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",40,60,108,0.6
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",40,60,110,0.6
"Balance Transfer","MBNA Low Rate*","Part time","Homeowner",70,30,244,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Part time","Homeowner",70,30,142,0.2
"Balance Transfer","Halifax Low Rate*","Part time","Homeowner",70,30,143,0.2
"Balance Transfer","Post Office*","Part time","Homeowner",70,30,94,0.4
"Balance Transfer","Santander*","Part time","Homeowner",70,30,14,0.4
"Balance Transfer","MBNA Low Rate*","Retired","Homeowner",80,20,566,0.1
"Balance Transfer","Santander*","Retired","Homeowner",80,20,62,0.3
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",50,100,13,0.4
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",50,100,158,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",50,100,12,0.4
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",50,60,101,0.5
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",50,60,100,0.5
"Balance Transfer","Santander*","Full time","Homeowner",50,60,54,0.8
"Balance Transfer","Santander*","Full time","Private Tenant",30,30,96,0.7
"Balance Transfer","MBNA Low Rate*","Unemployed","Living with Parents",60,10,16,0
"Balance Transfer","Lloyds Platinum Low Rate*","Unemployed","Living with Parents",60,10,12,0
"Balance Transfer","Halifax Low Rate*","Unemployed","Living with Parents",60,10,12,0
"Balance Transfer","Lloyds Platinum Low Rate*","Self Employed","Homeowner",50,20,27,0.4
"Balance Transfer","Halifax Low Rate*","Self Employed","Homeowner",50,20,27,0.4
"Balance Transfer","Santander*","Self Employed","Homeowner",50,20,70,0.3
"Balance Transfer","MBNA Low Rate*","Retired","Homeowner",80,30,144,0
"Balance Transfer","Lloyds Platinum Low Rate*","Retired","Homeowner",80,30,18,0.4
"Balance Transfer","Halifax Low Rate*","Retired","Homeowner",80,30,18,0.4
"Balance Transfer","Post Office*","Retired","Homeowner",80,30,81,0
"Balance Transfer","Santander*","Retired","Homeowner",80,30,26,0.95
"Balance Transfer","Santander*","Part time","Living with Parents",30,10,32,0.6
"Balance Transfer","Santander*","Part time","Homeowner",60,20,62,0.95
"Balance Transfer","MBNA Low Rate*","Self Employed","Private Tenant",60,50,24,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Self Employed","Private Tenant",60,50,36,0.5
"Balance Transfer","Halifax Low Rate*","Self Employed","Private Tenant",60,50,36,0.5
"Balance Transfer","Post Office*","Self Employed","Private Tenant",60,50,56,0
"Balance Transfer","Santander*","Self Employed","Private Tenant",60,50,20,0.8
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",60,70,436,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",60,70,257,0.2
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",60,70,271,0.2
"Balance Transfer","Post Office*","Full time","Homeowner",60,70,194,0.4
"Balance Transfer","Santander*","Full time","Homeowner",60,70,26,0.8
"Balance Transfer","Lloyds Platinum Low Rate*","Self Employed","Homeowner",50,40,36,0.95
"Balance Transfer","Halifax Low Rate*","Self Employed","Homeowner",50,40,36,0.95
"Balance Transfer","Post Office*","Self Employed","Homeowner",50,40,14,0.9
"Balance Transfer","Post Office*","Full time","Homeowner",40,40,170,0.6
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Council Tenant",40,30,55,0.4
"Balance Transfer","Halifax Low Rate*","Full time","Council Tenant",40,30,56,0.4
"Balance Transfer","Santander*","Full time","Council Tenant",40,30,58,0.8
"Balance Transfer","MBNA Low Rate*","Full time","Private Tenant",40,50,924,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",40,50,171,0
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",40,50,173,0
"Balance Transfer","Santander*","Full time","Private Tenant",40,50,120,0
"Balance Transfer","MBNA Low Rate*","Full time","Private Tenant",50,60,298,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",50,60,63,0.5
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",50,60,63,0.5
"Balance Transfer","Post Office*","Full time","Private Tenant",50,60,187,0
"Balance Transfer","Santander*","Full time","Private Tenant",50,60,82,0.95
"Balance Transfer","MBNA Low Rate*","Self Employed","Council Tenant",50,10,20,0
"Balance Transfer","Post Office*","Full time","Homeowner",60,20,52,0.5
"Balance Transfer","MBNA Low Rate*","Self Employed","Private Tenant",40,30,104,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Self Employed","Private Tenant",40,30,21,0.4
"Balance Transfer","Halifax Low Rate*","Self Employed","Private Tenant",40,30,21,0.4
"Balance Transfer","Santander*","Full time","Council Tenant",50,30,54,0.6
"Balance Transfer","Santander*","Full time","Homeowner",30,30,148,0.8
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",60,20,51,0.3
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",60,20,51,0.3
"Balance Transfer","Santander*","Full time","Private Tenant",60,20,36,0.6
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",50,40,300,0.95
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",50,40,306,0.95
"Balance Transfer","MBNA Low Rate*","Self Employed","Private Tenant",50,40,144,0
"Balance Transfer","Lloyds Platinum Low Rate*","Self Employed","Private Tenant",50,40,48,0
"Balance Transfer","Halifax Low Rate*","Self Employed","Private Tenant",50,40,45,0
"Balance Transfer","Post Office*","Self Employed","Private Tenant",50,40,94,0
"Balance Transfer","Santander*","Self Employed","Private Tenant",50,40,20,0
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",40,80,308,0.1
"Balance Transfer","Post Office*","Full time","Homeowner",40,80,20,0.7
"Balance Transfer","Santander*","Full time","Homeowner",40,80,22,0.9
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",60,20,110,0.95
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",60,20,108,0.95
"Balance Transfer","Santander*","Part time","Homeowner",40,20,108,0.2
"Balance Transfer","Post Office*","Self Employed","Homeowner",60,30,272,0.4
"Balance Transfer","Santander*","Self Employed","Homeowner",60,30,22,0.5
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",50,120,112,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",50,120,64,0.2
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",50,120,67,0.2
"Balance Transfer","Post Office*","Full time","Homeowner",50,120,42,0.4
"Balance Transfer","Santander*","Full time","Homeowner",50,120,14,0.3
"Balance Transfer","Santander*","Part time","Homeowner",50,20,122,0.4
"Balance Transfer","Santander*","Retired","Homeowner",70,30,36,0.4
"Balance Transfer","MBNA Low Rate*","Retired","Private Tenant",80,30,28,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Retired","Private Tenant",80,30,28,0.2
"Balance Transfer","Halifax Low Rate*","Retired","Private Tenant",80,30,29,0.2
"Balance Transfer","Post Office*","Retired","Private Tenant",80,30,34,0
"Balance Transfer","Santander*","Full time","Private Tenant",40,40,212,0.8
"Balance Transfer","MBNA Low Rate*","Full time","Living with Parents",50,20,190,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Living with Parents",50,20,70,0.2
"Balance Transfer","Halifax Low Rate*","Full time","Living with Parents",50,20,70,0.2
"Balance Transfer","Post Office*","Full time","Living with Parents",50,20,151,0
"Balance Transfer","Santander*","Full time","Living with Parents",50,20,14,0.3
"Balance Transfer","Lloyds Platinum Low Rate*","Retired","Homeowner",70,20,57,0.95
"Balance Transfer","Halifax Low Rate*","Retired","Homeowner",70,20,54,0.95
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",40,40,894,0
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",40,40,905,0
"Balance Transfer","Post Office*","Full time","Homeowner",40,50,110,0.8
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Living with Parents",30,20,204,0.4
"Balance Transfer","Halifax Low Rate*","Full time","Living with Parents",30,20,209,0.4
"Balance Transfer","Santander*","Full time","Homeowner",70,30,64,0.3
"Balance Transfer","MBNA Low Rate*","Self Employed","Homeowner",50,20,554,0
"Balance Transfer","Santander*","Self Employed","Homeowner",50,20,58,0.4
"Balance Transfer","MBNA Low Rate*","Self Employed","Homeowner",60,40,468,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Self Employed","Homeowner",60,40,255,0.2
"Balance Transfer","Halifax Low Rate*","Self Employed","Homeowner",60,40,265,0.2
"Balance Transfer","Post Office*","Self Employed","Homeowner",60,40,172,0.4
"Balance Transfer","Santander*","Self Employed","Homeowner",60,40,62,0.2
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Living with Parents",30,30,383,0.6
"Balance Transfer","Halifax Low Rate*","Full time","Living with Parents",30,30,388,0.6
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",50,60,278,0
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",50,60,281,0
"Balance Transfer","Santander*","Full time","Homeowner",50,60,178,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Council Tenant",50,20,84,0.95
"Balance Transfer","Halifax Low Rate*","Full time","Council Tenant",50,20,87,0.95
"Balance Transfer","MBNA Low Rate*","Part time","Private Tenant",40,30,288,0
"Balance Transfer","Post Office*","Part time","Private Tenant",40,30,186,0
"Balance Transfer","Santander*","Part time","Private Tenant",40,30,88,0.95
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",50,30,139,0.4
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",50,30,145,0.4
"Balance Transfer","Santander*","Full time","Private Tenant",50,30,184,0.9
"Balance Transfer","MBNA Low Rate*","Unemployed","Council Tenant",50,20,56,0
"Balance Transfer","Lloyds Platinum Low Rate*","Unemployed","Council Tenant",50,20,42,0
"Balance Transfer","Halifax Low Rate*","Unemployed","Council Tenant",50,20,42,0
"Balance Transfer","Post Office*","Unemployed","Council Tenant",50,20,30,0
"Balance Transfer","Santander*","Unemployed","Council Tenant",50,20,28,0
"Balance Transfer","MBNA Low Rate*","Full time","Council Tenant",70,30,130,0
"Balance Transfer","Post Office*","Full time","Council Tenant",70,30,77,0
"Balance Transfer","Santander*","Full time","Council Tenant",70,30,16,0.95
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Living with Parents",20,20,28,0.6
"Balance Transfer","Halifax Low Rate*","Full time","Living with Parents",20,20,28,0.6
"Balance Transfer","Santander*","Full time","Living with Parents",20,20,18,0.9
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",50,20,169,0.5
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",50,20,166,0.5
"Balance Transfer","Santander*","Full time","Private Tenant",50,20,94,0.8
"Balance Transfer","Lloyds Platinum Low Rate*","Part time","Homeowner",50,20,45,0.95
"Balance Transfer","Halifax Low Rate*","Part time","Homeowner",50,20,45,0.95
"Balance Transfer","Santander*","Full time","Homeowner",60,40,134,0.9
"Balance Transfer","MBNA Low Rate*","Full time","Council Tenant",50,40,368,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Council Tenant",50,40,28,0.5
"Balance Transfer","Halifax Low Rate*","Full time","Council Tenant",50,40,29,0.5
"Balance Transfer","Post Office*","Full time","Council Tenant",50,40,225,0
"Balance Transfer","Santander*","Full time","Council Tenant",50,40,30,0.8
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",30,70,40,0
"Balance Transfer","Santander*","Full time","Homeowner",30,70,12,0.95
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Council Tenant",40,20,132,0.2
"Balance Transfer","Halifax Low Rate*","Full time","Council Tenant",40,20,132,0.2
"Balance Transfer","Santander*","Full time","Council Tenant",40,20,64,0.8
"Balance Transfer","MBNA Low Rate*","Part time","Homeowner",50,40,106,0
"Balance Transfer","Lloyds Platinum Low Rate*","Part time","Homeowner",50,40,33,0
"Balance Transfer","Halifax Low Rate*","Part time","Homeowner",50,40,33,0
"Balance Transfer","Santander*","Part time","Homeowner",50,40,20,0
"Balance Transfer","MBNA Low Rate*","Self Employed","Homeowner",70,20,236,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Self Employed","Homeowner",70,20,72,0
"Balance Transfer","Halifax Low Rate*","Self Employed","Homeowner",70,20,77,0
"Balance Transfer","Post Office*","Self Employed","Homeowner",70,20,59,0
"Balance Transfer","Lloyds Platinum Low Rate*","Part time","Private Tenant",50,20,128,0.2
"Balance Transfer","MBNA Low Rate*","Part time","Private Tenant",50,20,150,0.1
"Balance Transfer","Halifax Low Rate*","Part time","Private Tenant",50,20,122,0.2
"Balance Transfer","Post Office*","Part time","Private Tenant",50,20,277,0
"Balance Transfer","MBNA Low Rate*","Self Employed","Homeowner",40,80,36,0.1
"Balance Transfer","Post Office*","Full time","Homeowner",50,70,335,0.4
"Balance Transfer","Santander*","Full time","Homeowner",50,70,64,0.4
"Balance Transfer","Santander*","Full time","Homeowner",40,60,50,0.3
"Balance Transfer","Lloyds Platinum Low Rate*","Part time","Homeowner",40,10,239,0.2
"Balance Transfer","Halifax Low Rate*","Part time","Homeowner",40,10,244,0.2
"Balance Transfer","Post Office*","Part time","Homeowner",40,10,168,0.4
"Balance Transfer","Santander*","Part time","Homeowner",40,10,62,0.3
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",60,20,34,0.4
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",60,20,36,0.4
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",70,50,172,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",70,50,172,0.2
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",70,50,176,0.2
"Balance Transfer","Post Office*","Full time","Homeowner",70,50,101,0.4
"Balance Transfer","Santander*","Full time","Homeowner",70,50,44,0.2
"Balance Transfer","Lloyds Platinum Low Rate*","Part time","Private Tenant",40,10,22,0.9
"Balance Transfer","Halifax Low Rate*","Part time","Private Tenant",40,10,22,0.9
"Balance Transfer","Santander*","Part time","Private Tenant",40,10,112,0.95
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",60,30,159,0.3
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",60,30,158,0.3
"Balance Transfer","Santander*","Full time","Private Tenant",30,20,462,0
"Balance Transfer","Post Office*","Retired","Homeowner",70,10,12,0.7
"Balance Transfer","Santander*","Retired","Homeowner",70,10,60,0.3
"Balance Transfer","MBNA Low Rate*","Retired","Private Tenant",80,20,102,0
"Balance Transfer","Lloyds Platinum Low Rate*","Retired","Private Tenant",80,20,30,0
"Balance Transfer","Halifax Low Rate*","Retired","Private Tenant",80,20,30,0
"Balance Transfer","Post Office*","Retired","Private Tenant",80,20,74,0
"Balance Transfer","Santander*","Full time","Homeowner",60,60,82,0.4
"Balance Transfer","Post Office*","Full time","Homeowner",40,20,145,0.7
"Balance Transfer","Santander*","Full time","Living with Parents",60,30,18,0.95
"Balance Transfer","Santander*","Full time","Private Tenant",30,30,218,0.8
"Balance Transfer","Santander*","Full time","Homeowner",60,50,182,0.4
"Balance Transfer","Lloyds Platinum Low Rate*","Part time","Homeowner",40,10,36,0.4
"Balance Transfer","Halifax Low Rate*","Part time","Homeowner",40,10,36,0.4
"Balance Transfer","Santander*","Part time","Homeowner",40,10,58,0.9
"Balance Transfer","Halifax Low Rate*","Self Employed","Homeowner",50,40,291,0.2
"Balance Transfer","Lloyds Platinum Low Rate*","Self Employed","Homeowner",50,40,281,0.2
"Balance Transfer","Santander*","Self Employed","Homeowner",50,40,54,0.3
